episode,reward,rolling_reward
0,1.0,
1,1.0,
2,1.0,
3,1.0,
4,-1.0,
5,-1.0,
6,1.0,
7,-1.0,
8,1.0,
9,1.0,
10,1.0,
11,1.0,
12,1.0,
13,1.0,
14,1.0,
15,1.0,
16,1.0,
17,1.0,
18,1.0,
19,1.0,
20,1.0,
21,1.0,
22,1.0,
23,1.0,
24,1.0,
25,1.0,
26,1.0,
27,1.0,
28,1.0,
29,1.0,
30,1.0,
31,1.0,
32,1.0,
33,1.0,
34,1.0,
35,1.0,
36,1.0,
37,1.0,
38,1.0,
39,1.0,
40,1.0,
41,1.0,
42,1.0,
43,1.0,
44,1.0,
45,1.0,
46,1.0,
47,1.0,
48,1.0,
49,1.0,
50,1.0,
51,1.0,
52,1.0,
53,1.0,
54,1.0,
55,1.0,
56,1.0,
57,1.0,
58,1.0,
59,1.0,
60,1.0,
61,1.0,
62,1.0,
63,1.0,
64,1.0,
65,1.0,
66,1.0,
67,1.0,
68,1.0,
69,1.0,
70,1.0,
71,1.0,
72,1.0,
73,1.0,
74,1.0,
75,1.0,
76,1.0,
77,1.0,
78,1.0,
79,1.0,
80,1.0,
81,1.0,
82,1.0,
83,1.0,
84,1.0,
85,1.0,
86,1.0,
87,1.0,
88,1.0,
89,1.0,
90,1.0,
91,1.0,
92,1.0,
93,1.0,
94,1.0,
95,1.0,
96,1.0,
97,1.0,
98,1.0,
99,1.0,0.94
100,1.0,0.94
101,1.0,0.94
102,1.0,0.94
103,1.0,0.94
104,1.0,0.96
105,1.0,0.98
106,1.0,0.98
107,1.0,1.0
108,1.0,1.0
109,1.0,1.0
110,1.0,1.0
111,1.0,1.0
112,1.0,1.0
113,1.0,1.0
114,1.0,1.0
115,-1.0,0.98
116,1.0,0.98
117,1.0,0.98
118,1.0,0.98
119,1.0,0.98
120,1.0,0.98
121,1.0,0.98
122,1.0,0.98
123,1.0,0.98
124,1.0,0.98
125,1.0,0.98
126,1.0,0.98
127,1.0,0.98
128,1.0,0.98
129,1.0,0.98
130,1.0,0.98
131,1.0,0.98
132,1.0,0.98
133,1.0,0.98
134,1.0,0.98
135,1.0,0.98
136,1.0,0.98
137,1.0,0.98
138,1.0,0.98
139,1.0,0.98
140,1.0,0.98
141,1.0,0.98
142,1.0,0.98
143,1.0,0.98
144,1.0,0.98
145,1.0,0.98
146,1.0,0.98
147,1.0,0.98
148,1.0,0.98
149,1.0,0.98
150,1.0,0.98
151,1.0,0.98
152,1.0,0.98
153,1.0,0.98
154,1.0,0.98
155,1.0,0.98
156,1.0,0.98
157,1.0,0.98
158,1.0,0.98
159,1.0,0.98
160,1.0,0.98
161,1.0,0.98
162,1.0,0.98
163,1.0,0.98
164,1.0,0.98
165,1.0,0.98
166,1.0,0.98
167,1.0,0.98
168,1.0,0.98
169,1.0,0.98
170,1.0,0.98
171,1.0,0.98
172,1.0,0.98
173,1.0,0.98
174,1.0,0.98
175,1.0,0.98
176,1.0,0.98
177,1.0,0.98
178,1.0,0.98
179,1.0,0.98
180,1.0,0.98
181,1.0,0.98
182,1.0,0.98
183,1.0,0.98
184,1.0,0.98
185,1.0,0.98
186,1.0,0.98
187,1.0,0.98
188,1.0,0.98
189,1.0,0.98
190,1.0,0.98
191,1.0,0.98
192,1.0,0.98
193,1.0,0.98
194,1.0,0.98
195,1.0,0.98
196,1.0,0.98
197,1.0,0.98
198,1.0,0.98
199,1.0,0.98
200,1.0,0.98
201,1.0,0.98
202,1.0,0.98
203,1.0,0.98
204,1.0,0.98
205,1.0,0.98
206,1.0,0.98
207,1.0,0.98
208,1.0,0.98
209,1.0,0.98
210,1.0,0.98
211,1.0,0.98
212,1.0,0.98
213,1.0,0.98
214,1.0,0.98
215,1.0,1.0
216,1.0,1.0
217,1.0,1.0
218,1.0,1.0
219,1.0,1.0
220,1.0,1.0
221,1.0,1.0
222,1.0,1.0
223,1.0,1.0
224,1.0,1.0
225,1.0,1.0
226,1.0,1.0
227,1.0,1.0
228,1.0,1.0
229,1.0,1.0
230,1.0,1.0
231,1.0,1.0
232,1.0,1.0
233,1.0,1.0
234,1.0,1.0
235,1.0,1.0
236,1.0,1.0
237,1.0,1.0
238,1.0,1.0
239,1.0,1.0
240,1.0,1.0
241,1.0,1.0
242,1.0,1.0
243,1.0,1.0
244,1.0,1.0
245,1.0,1.0
246,1.0,1.0
247,1.0,1.0
248,1.0,1.0
249,1.0,1.0
250,1.0,1.0
251,1.0,1.0
252,1.0,1.0
253,1.0,1.0
254,1.0,1.0
255,1.0,1.0
256,1.0,1.0
257,1.0,1.0
258,1.0,1.0
259,1.0,1.0
260,1.0,1.0
261,1.0,1.0
262,1.0,1.0
263,1.0,1.0
264,1.0,1.0
265,1.0,1.0
266,1.0,1.0
267,1.0,1.0
268,1.0,1.0
269,1.0,1.0
270,1.0,1.0
271,1.0,1.0
272,1.0,1.0
273,1.0,1.0
274,-1.0,0.98
275,1.0,0.98
276,1.0,0.98
277,1.0,0.98
278,1.0,0.98
279,1.0,0.98
280,1.0,0.98
281,1.0,0.98
282,1.0,0.98
283,1.0,0.98
284,1.0,0.98
285,1.0,0.98
286,1.0,0.98
287,1.0,0.98
